id,date,day,steps,distance,stairs
623,2017-03-14,Tue,6837,5,4
624,2017-03-15,Wed,7088,5.5,1
625,2017-03-16,Thu,7262,5.2,6
626,2017-03-17,Fri,7070,5.5,1
627,2017-03-18,Sat,10089,7.5,2
628,2017-03-19,Sun,8858,6.5,7
629,2017-03-20,Mon,24,0.01,0
630,2017-03-21,Tue,2067,1.5,3
631,2017-03-22,Wed,8,0,0
632,2017-03-23,Thu,10586,7.7,7
633,2017-03-24,Fri,53,0.03,0
634,2017-03-25,Sat,8154,5.8,5
635,2017-03-26,Sun,5898,4.1,8
636,2017-03-27,Mon,7315,5.7,8
637,2017-03-28,Tue,8836,5.9,8
638,2017-03-29,Wed,17,0.01,0
639,2017-03-30,Thu,6074,4.5,3
640,2017-03-31,Fri,8,0,0
641,2017-04-01,Sat,7747,5.9,3
642,2017-04-02,Sun,5257,3.7,7
643,2017-04-03,Mon,4765,3.6,3
644,2017-04-04,Tue,6377,4.8,6
645,2017-04-05,Wed,8,0,0
